instance_id,benchmark,language,file_count_bucket,harness,cond,arm,seed,model,status_taxonomy,legit,resolved,f2p_pass,f2p_total,p2p_pass,p2p_total,cost_usd,total_cost_usd,turns,tokens_total,patch_bytes,modified_files,wall_clock_secs,n_surfaced,first_gold_rank,acc@1,acc@3,acc@5,acc@10,recall@1,recall@3,recall@5,recall@10,n_gold,edit_precision,edit_recall,loc_metric
apache__rocketmq-7426,polybench,java,1,supercoder,on,SC-ON,0,anthropic/claude-opus-4-7,unresolved,1,0,0,4,0,0,1.30194225,1.301942,30,11057,7934,2,344.02,21,1,1,1,1,1,1.0,1.0,1.0,1.0,1,0.5,1.0,agent_targeted_v3
apache__rocketmq-7426,polybench,java,1,supercoder,off,SC-OFF,0,anthropic/claude-opus-4-7,unresolved,1,0,0,4,0,0,0.67788675,0.677887,22,6507,5599,2,252.67,22,1,1,1,1,1,1.0,1.0,1.0,1.0,1,0.5,1.0,agent_targeted_v3
apache__rocketmq-7426,polybench,java,1,opencode,l1,OpenCode,0,anthropic/claude-opus-4-7,unresolved,1,0,0,4,0,0,0.46161025,0.46161,13,4495,2308,1,120.43,17,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,agent_targeted_v3
keras-team__keras-19636,polybench,python,1,supercoder,on,SC-ON,0,anthropic/claude-opus-4-7,resolved,1,1,1,1,28,28,1.3218154999999996,1.321815,35,9459,3114,2,239.78,35,3,0,1,1,1,0.0,1.0,1.0,1.0,1,0.5,1.0,agent_targeted_v3
keras-team__keras-19636,polybench,python,1,supercoder,off,SC-OFF,0,anthropic/claude-opus-4-7,resolved,1,1,1,1,28,28,0.5899197500000001,0.58992,29,8350,2353,2,219.0,32,6,0,0,0,1,0.0,0.0,0.0,1.0,1,0.5,1.0,agent_targeted_v3
keras-team__keras-19636,polybench,python,1,opencode,l1,OpenCode,0,anthropic/claude-opus-4-7,resolved,1,1,1,1,28,28,0.88438075,0.884381,33,11269,2787,2,185.66,37,1,1,1,1,1,1.0,1.0,1.0,1.0,1,0.5,1.0,agent_targeted_v3
instance_ansible__ansible-185d41031660a676c43fbb781cd1335902024bfe-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,pro,python,2,supercoder,on,SC-ON,0,anthropic/claude-opus-4-7,unresolved,1,0,0,2,27,27,0.60968575,0.609686,17,6907,7621,1,112.94,22,1,1,1,1,1,0.3333,0.3333,0.3333,0.3333,3,1.0,0.3333,agent_targeted_v3
instance_ansible__ansible-185d41031660a676c43fbb781cd1335902024bfe-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,pro,python,2,supercoder,off,SC-OFF,0,anthropic/claude-opus-4-7,unresolved,1,0,0,2,27,27,0.42252175000000003,0.422522,16,6055,6500,1,88.51,45,21,0,0,0,0,0.0,0.0,0.0,0.0,3,1.0,0.3333,agent_targeted_v3
instance_ansible__ansible-185d41031660a676c43fbb781cd1335902024bfe-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,pro,python,2,opencode,l1,OpenCode,0,anthropic/claude-opus-4-7,unresolved,1,0,0,2,27,27,0.48226649999999993,0.482266,17,7655,7795,1,180.17,29,21,0,0,0,0,0.0,0.0,0.0,0.0,3,1.0,0.3333,agent_targeted_v3
instance_gravitational__teleport-1b08e7d0dbe68fe530a0f08ad408ec198b7c53fc-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,pro,go,1,supercoder,on,SC-ON,0,anthropic/claude-opus-4-7,unresolved,1,0,0,2,13,13,0.9077470000000001,0.907747,19,6852,2354,2,319.3,13,1,1,1,1,1,1.0,1.0,1.0,1.0,1,0.5,1.0,agent_targeted_v3
instance_gravitational__teleport-1b08e7d0dbe68fe530a0f08ad408ec198b7c53fc-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,pro,go,1,supercoder,off,SC-OFF,0,anthropic/claude-opus-4-7,unresolved,1,0,0,2,13,13,0.9129247500000001,0.912925,31,10781,3825,2,453.26,22,3,0,1,1,1,0.0,1.0,1.0,1.0,1,0.5,1.0,agent_targeted_v3
instance_gravitational__teleport-1b08e7d0dbe68fe530a0f08ad408ec198b7c53fc-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,pro,go,1,opencode,l1,OpenCode,0,anthropic/claude-opus-4-7,unresolved,1,0,0,2,13,13,0.9224225,0.922423,28,12004,4194,2,285.06,22,2,0,1,1,1,0.0,1.0,1.0,1.0,1,0.5,1.0,agent_targeted_v3
trinodb__trino-1512,polybench,java,1,supercoder,on,SC-ON,0,anthropic/claude-opus-4-7,resolved,1,1,2,2,46,46,1.1387007500000002,1.138701,40,11836,5312,1,294.43,5,1,1,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,agent_targeted_v3
huggingface__transformers-28115,polybench,python,2,supercoder,on,SC-ON,0,anthropic/claude-opus-4-7,unresolved,1,0,0,1,83,83,0.2281105,0.22811,9,3178,1591,1,76.48,9,1,1,1,1,1,0.5,0.5,0.5,0.5,2,1.0,0.5,agent_targeted_v3
huggingface__transformers-28115,polybench,python,2,supercoder,off,SC-OFF,0,anthropic/claude-opus-4-7,unresolved,1,0,0,1,83,83,0.24985700000000002,0.249857,9,4235,1591,1,134.86,8,1,1,1,1,1,0.5,0.5,0.5,0.5,2,1.0,0.5,agent_targeted_v3
huggingface__transformers-28115,polybench,python,2,opencode,l1,OpenCode,0,anthropic/claude-opus-4-7,unresolved,1,0,0,1,83,83,0.69283275,0.692833,23,13838,1591,1,250.12,12,1,1,1,1,1,0.5,0.5,1.0,1.0,2,1.0,0.5,agent_targeted_v3
instance_ansible__ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,pro,python,3+,supercoder,on,SC-ON,0,anthropic/claude-opus-4-7,resolved,1,1,4,4,0,0,1.12095525,1.120955,40,14042,9424,4,219.77,23,6,0,0,0,1,0.0,0.0,0.0,0.8,5,0.75,0.6,agent_targeted_v3
instance_ansible__ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,pro,python,3+,supercoder,off,SC-OFF,0,anthropic/claude-opus-4-7,resolved,1,1,4,4,0,0,1.0142517500000001,1.014252,40,10818,7569,3,258.87,40,6,0,0,0,1,0.0,0.0,0.0,0.8,5,1.0,0.6,agent_targeted_v3
